# GeoNames admin1 code	ISO 3166-2 code, or - when the unit has none	reason
# Reviewed by hand. The generator fails on a unit without a code, on an invalid code and on an unused line.
GG.6417228	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417229	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417230	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.6417233	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GG.8989934	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GP.GP	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.AH	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.AN	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.AS	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.AT	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.BA	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.CP	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.DD	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.IN	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.MA	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.ME	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.MT	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.PI	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.SJ	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.SR	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.TF	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.TM	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.UM	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.YG	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
GU.YN	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.HCW	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.HEA	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.HSO	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.HWC	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.KKC	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.KKT	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.KSS	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.KWT	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.KYT	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NIS	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NKT	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NNO	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NSK	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NST	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NTM	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NTP	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NTW	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
HK.NYL	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
ID.PD	ID-PD	Southwest Papua (CLDR: Papua Barat Daya)
ID.PE	ID-PE	Highland Papua (CLDR: Papua Pengunungan)
ID.PS	ID-PS	South Papua (CLDR: Papua Selatan)
ID.PT	ID-PT	Central Papua (CLDR: Papua Tengah)
IL.WE	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782164	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782165	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782166	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782167	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782168	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782169	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782170	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782171	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782172	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782173	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782176	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782180	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782182	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782183	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782184	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782185	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782186	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782187	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782188	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782189	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782190	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782191	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782192	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IM.9782193	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
IQ.19	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237072	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237073	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237200	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237203	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237212	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237214	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237221	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237229	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237497	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237530	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237716	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
JE.3237864	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KG.10	KG-GO	Osh City (CLDR: Osh)
KP.14	KP-14	Nampo (CLDR: Nampho)
KP.19	KP-15	Kaesong (CLDR: Kaeseong)
KY.10346796	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KY.10375968	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KY.10375969	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KY.10375970	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KY.10375971	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KY.10375972	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
KZ.08	-	no ISO 3166-2 code: no Wikidata match and no CLDR 48.2 code of this unit (subdivision of a dependent territory, unit outside ISO 3166-2, or reorganized after the ISO list)
LY.69	LY-BA	Banghazi (CLDR: Benghazi)
MA.01	MA-01	Tanger-Tetouan-Al Hoceima; ISO 3166-2:MA 2019 region codes, CLDR still has the pre-2015 names
MA.03	MA-03	Fes-Meknes; ISO 3166-2:MA 2019 region code
MA.04	MA-04	Rabat-Sale-Kenitra; ISO 3166-2:MA 2019 region code
MA.05	MA-05	Beni Mellal-Khenifra; ISO 3166-2:MA 2019 region code
MA.06	MA-06	Casablanca-Settat; ISO 3166-2:MA 2019 region code
MA.07	MA-07	Marrakesh-Safi; ISO 3166-2:MA 2019 region code
MA.08	MA-08	Draa-Tafilalet; ISO 3166-2:MA 2019 region code
